Company,Location,Level Name,Role,Years of Experience,Years at Company,Total Compensation,Compensation Breakdown
Global Payments,"Sao Paulo, SP, Brazil",Senior,Full Stack,10  yrs,3  yrs,"R$722,520",663.5K | N/A | 59K
Anonymous,"Rio de Janeiro, RJ, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$169,000",156K | N/A | 13K
Will Bank,"Sao Paulo, SP, Brazil",Senior,Distributed Systems (Back-End),17  yrs,1  yr,"R$318,000",318K | N/A | N/A
Clevertech,"Sao Paulo, SP, Brazil",Senior,Full Stack,15  yrs,6  yrs,"R$471,946",471.9K | N/A | N/A
Unico,"Florianopolis, SC, Brazil",IC8,DevOps,30  yrs,1  yr,"R$1,325,000",700K | 425K | 200K
KnowBe4,"Recife, PE, Brazil",Staff,Full Stack,12  yrs,2  yrs,"R$420,000",420K | N/A | N/A
BairesDev,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$202,295",+R$12K
Arado,"Sao Paulo, SP, Brazil",Senior,Full Stack,15  yrs,3  yrs,"R$324,561",300K | 24.6K | N/A
C6 Bank,"Sao Paulo, SP, Brazil",Tech Engineer,Distributed Systems (Back-End),5  yrs,2  yrs,"R$192,000",156K | N/A | 36K
Upstart 13,"Sao Paulo, SP, Brazil",-,Full Stack,4  yrs,1  yr,"R$296,042",296K | N/A | N/A
Act Digital,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),10  yrs,1  yr,"R$135,600",135.6K | N/A | N/A
Atrium,"Sao Paulo, SP, Brazil",Senior,Data,17  yrs,1  yr,"R$494,756",494.8K | N/A | N/A
Nubank,"Rio de Janeiro, RJ, Brazil",IC5,Full Stack,6  yrs,2  yrs,"R$282,324",214.5K | 49.8K | 18K
CI&T,"Sao Paulo, SP, Brazil",L3,Full Stack,5-10  yrs,5-10  yrs,"R$156,000",156K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,API Development (Back-End),6  yrs,1  yr,"R$245,320",205.3K | 40K | N/A
DASA,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$206,959",177.4K | N/A | 29.6K
Hotel Engine,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),10  yrs,0  yrs,"R$493,104",493.1K | N/A | N/A
Truelogic,"Sao Paulo, SP, Brazil",L5,API Development (Back-End),8  yrs,1  yr,"R$302,992",303K | N/A | N/A
Quero Meus Direitos,"Belo Horizonte, MG, Brazil",L3,Full Stack,2  yrs,1  yr,"R$39,000",39K | N/A | N/A
XP,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$316,000",201K | N/A | 115K
Amazon,"Sao Paulo, SP, Brazil",SDE III,DevOps,7  yrs,1  yr,"R$400,000",360K | 40K | N/A
BairesDev,"Sao Paulo, SP, Brazil",L5,N/A,5-10  yrs,5-10  yrs,"R$229,000",229K | N/A | N/A
Pagbank,"Sao Paulo, SP, Brazil",Senior Software Engineer,Embedded,7  yrs,4  yrs,"R$192,000",144K | N/A | 48K
CI&T,"Belo Horizonte, MG, Brazil",Senior,Distributed Systems (Back-End),8  yrs,3  yrs,"R$120,000",120K | N/A | N/A
Volkswagen,"Sao Bernardo do Campo, SP, Brazil",-,Distributed Systems (Back-End),8  yrs,1  yr,"R$183,240",183.2K | N/A | N/A
SAP,"Sao Leopoldo, RS, Brazil",T2,Full Stack,5  yrs,3  yrs,"R$150,000",150K | N/A | N/A
Avanade,"Recife, PE, Brazil",10,API Development (Back-End),3  yrs,3  yrs,"R$100,000",100K | N/A | N/A
Quinto Andar,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$164,900",143.4K | N/A | 21.5K
VTEX,"Rio de Janeiro, RJ, Brazil",L3,N/A,4  yrs,3  yrs,"R$192,000",192K | N/A | N/A
Zup Innovation,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$168,000",144K | N/A | 24K
Jungle Scout,"Sao Paulo, SP, Brazil",L4,Full Stack,7  yrs,3  yrs,"R$423,133",384.2K | N/A | 38.9K
NTT DATA,"Uberlandia, MG, Brazil",Senior Software Engineer,Android,3  yrs,2  yrs,"R$103,200",103.2K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$186,000",186K | N/A | N/A
Google,"Belo Horizonte, MG, Brazil",L3,Android,3  yrs,1  yr,"R$271,000",156K | 100K | 15K
Anonymous,"Recife, PE, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$100,000",100K | N/A | N/A
XPTO,"Recife, PE, Brazil",-,Eng,15  yrs,8  yrs,"R$825,215",728.1K | N/A | 97.1K
BairesDev,"Salvador, BA, Brazil",Senior,Web Development (Front-End),8  yrs,2  yrs,"R$291,252",291.3K | N/A | N/A
Minsait,"Sao Paulo, SP, Brazil",L3,Networking,6  yrs,1  yr,"R$108,000",108K | N/A | N/A
TownSq,"Itatiba, SP, Brazil",Senior,Web Development (Front-End),5  yrs,1  yr,"R$129,700",127.2K | N/A | 2.5K
Serasa Experian,"Sao Paulo, SP, Brazil",Senior,Full Stack,4  yrs,2  yrs,"R$144,000",144K | N/A | N/A
Geekie,"Sao Paulo, SP, Brazil",L2,Full Stack,4  yrs,2  yrs,"R$116,200",109.2K | N/A | 7K
Anonymous,"Brasilia, DF, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$198,000",198K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$93,420",93.4K | N/A | N/A
Jaya Tech,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),8  yrs,2  yrs,"R$264,956",265K | N/A | N/A
DBServer,"Porto Alegre, RS, Brazil",L2,Embedded,4  yrs,2  yrs,"R$96,000",96K | N/A | N/A
Brex,"Rio de Janeiro, RJ, Brazil",Software Engineer II,Distributed Systems (Back-End),5  yrs,0  yrs,"R$557,500",520K | 37.5K | N/A
GFT Group,"Sao Paulo, SP, Brazil",L5,Testing (SDET),6  yrs,1  yr,"R$245,330",245.3K | N/A | N/A
Turing,"Sao Paulo, SP, Brazil",Senior Software Engineer,Data,7  yrs,2  yrs,"R$480,000",480K | N/A | N/A
Geek Business Lab,"Salvador, BA, Brazil",L3,API Development (Back-End),5  yrs,3  yrs,"R$36,000",36K | N/A | N/A
Claravine,"Sao Paulo, SP, Brazil",Senior,Full Stack,6  yrs,1  yr,"R$303,919",303.9K | N/A | N/A
Itau,"Sao Paulo, SP, Brazil",Mid,-,2  yrs,1  yr,"R$135,200",115.2K | N/A | 20K
Dione Solutions,"Sao Paulo, SP, Brazil",Entry Level Engineer,Data,1  yr,0  yrs,"R$62,400",62.4K | N/A | N/A
Goldman Sachs,"Sao Paulo, SP, Brazil",Associate,Full Stack,5  yrs,4  yrs,"R$500,000",360K | N/A | 140K
Google,"Belo Horizonte, MG, Brazil",L3,Android,3  yrs,1  yr,"R$279,000",156K | 100K | 23K
iFood,"Sao Paulo, SP, Brazil",N2,Distributed Systems (Back-End),8  yrs,5  yrs,"R$441,915",264K | 117.9K | 60K
Itau,"Sao Paulo, SP, Brazil",Mid Level,API Development (Back-End),2  yrs,1  yr,"R$135,200",115.2K | N/A | 20K
Raro Labs,"Belo Horizonte, MG, Brazil",L3,iOS,6  yrs,3  yrs,"R$130,000",130K | N/A | N/A
Stefanini Group,"Sao Paulo, SP, Brazil",L3,Full Stack,2  yrs,1  yr,"R$48,000",48K | N/A | N/A
Ecore,"Sao Paulo, SP, Brazil",-,API Development (Back-End),8  yrs,1  yr,"R$186,000",186K | N/A | N/A
Anonymous,"Belo Horizonte, MG, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$108,000",108K | N/A | N/A
Anonymous,"Manaus, AM, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$91,752",91.8K | N/A | N/A
Anonymous,"Belo Horizonte, MG, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$135,000",135K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE I,Testing (SDET),5  yrs,1  yr,"R$182,000",132K | 50K | N/A
Zenvia,"Sao Paulo, SP, Brazil",L1,Full Stack,2  yrs,1  yr,"R$32,400",32.4K | N/A | N/A
Smarttbot,"Belo Horizonte, MG, Brazil",L3,API Development (Back-End),3  yrs,3  yrs,"R$61,200",61.2K | N/A | N/A
Loadsmart,"Brasilia, DF, Brazil",Mid,Web Development (Front-End),5  yrs,3  yrs,"R$292,800",292.8K | N/A | N/A
VTEX,"Recife, PE, Brazil",Senior Software Engineer,Full Stack,7  yrs,2  yrs,"R$216,000",216K | N/A | N/A
Cryptum.io,"Sao Paulo, SP, Brazil",L1,Blockchain,3  yrs,1  yr,"R$96,000",96K | N/A | N/A
Geopagos,"Sao Paulo, SP, Brazil",Senior,Site Reliability (SRE),7  yrs,1  yr,"R$195,000",180K | N/A | 15K
Tino,"Sao Paulo, SP, Brazil",Staff Software Engineer,API Development (Back-End),15  yrs,2  yrs,"R$247,000",247K | N/A | N/A
Union,"Sao Paulo, SP, Brazil",-,Testing (SDET),5  yrs,5  yrs,"R$36,005",36K | 5 | N/A
Google,"Sao Paulo, SP, Brazil",L4,API Development (Back-End),10  yrs,1  yr,"R$444,838",240K | 169.8K | 35K
Uber,"Sao Paulo, SP, Brazil",Software Engineer II,Data,5  yrs,1  yr,"R$433,650",325K | 60.7K | 48K
Schlumberger,"Rio de Janeiro, RJ, Brazil",Senior,Data,10  yrs,1  yr,"R$337,932",337.9K | N/A | N/A
MileIQ,"Rio de Janeiro, RJ, Brazil",Senior,Web Development (Front-End),8  yrs,1  yr,"R$526,208",492.4K | N/A | 33.8K
iFood,"Sao Paulo, SP, Brazil",N1,Distributed Systems (Back-End),12  yrs,2  yrs,"R$240,000",240K | N/A | N/A
Anonymous,"Campina Grande, PB, Brazil",-,N/A,11  yrs,7  yrs,"R$144,000",144K | N/A | N/A
Uber,"Sao Paulo, SP, Brazil",Software Engineer II,API Development (Back-End),7  yrs,1  yr,"R$416,000",306K | 60K | 50K
Uber,"Sao Paulo, SP, Brazil",Software Engineer II,API Development (Back-End),7  yrs,1  yr,"R$424,000",294K | 80K | 50K
Nubank,"Sao Paulo, SP, Brazil",IC6,Full Stack,6  yrs,6  yrs,"R$500,000",380K | 120K | N/A
Nubank,"Sao Paulo, SP, Brazil",IC7,Full Stack,13  yrs,5  yrs,"R$754,280",510K | 244.3K | N/A
Nubank,"Sao Paulo, SP, Brazil",IC6,Full Stack,15  yrs,3  yrs,"R$342,000",312K | 30K | N/A
RDStation,"Florianopolis, SC, Brazil",L3,API Development (Back-End),9  yrs,2  yrs,"R$180,120",180K | N/A | 120
Amazon,"Sao Paulo, SP, Brazil",SDE II,Full Stack,6  yrs,2  yrs,"R$339,916",223K | 116.9K | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Distributed Systems (Back-End),5  yrs,4  yrs,"R$230,000",200K | 30K | N/A
Taller Technologies,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$406,484",406.5K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Full Stack,6  yrs,3  yrs,"R$316,000",216K | 100K | N/A
SAP,"Porto Alegre, RS, Brazil",T2,API Development (Back-End),11  yrs,6  yrs,"R$250,100",179.6K | 40K | 30.5K
Inventa,"Sao Paulo, SP, Brazil",L4,API Development (Back-End),5  yrs,1  yr,"R$180,000",180K | N/A | N/A
Anonymous,"Rio de Janeiro, RJ, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$84,000",84K | N/A | N/A
Druid,"Rio de Janeiro, RJ, Brazil",L2,Data,5  yrs,2  yrs,"R$270,000",270K | N/A | N/A
Midhaz,"Belo Horizonte, MG, Brazil",L2,Web Development (Front-End),4  yrs,2  yrs,"R$48,000",48K | N/A | N/A
Creditas,"Sao Paulo, SP, Brazil",L4,API Development (Back-End),5-10  yrs,5-10  yrs,"R$250,000",250K | N/A | N/A
Google,"Belo Horizonte, MG, Brazil",L3,Full Stack,0  yrs,0  yrs,"R$275,538",154K | 98.4K | 23.1K
Bellosoft,"Brasilia, DF, Brazil",B3,Web Development (Front-End),4  yrs,4  yrs,"R$39,240",39.2K | N/A | N/A
N3urons,"Recife, PE, Brazil",Tech Leader,Full Stack,6  yrs,4  yrs,"R$192,000",192K | N/A | N/A
Ford Motor,"Sao Paulo, SP, Brazil",A,Full Stack,2  yrs,2  yrs,"R$47,040",47K | N/A | N/A
ArcTouch,"Sao Paulo, SP, Brazil",Master,Testing (SDET),7  yrs,7  yrs,"R$250,800",250.8K | N/A | N/A
Epic Games,"Porto Alegre, RS, Brazil",L2,Game Development,3  yrs,1  yr,"R$89,073",78.6K | N/A | 10.4K
iFood,"Curitiba, PR, Brazil",I11,-,3  yrs,0  yrs,"R$192,590",105K | N/A | 87.6K
Inventa,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$180,000",180K | N/A | N/A
Uber,"Sao Paulo, SP, Brazil",Software Engineer II,API Development (Back-End),7  yrs,1  yr,"R$405,407",294K | 61.4K | 50K
Isaac,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),6  yrs,2  yrs,"R$214,000",208K | 6K | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,Full Stack,7  yrs,1  yr,"R$259,314",210K | 49.3K | N/A
GFT Group,"Sao Paulo, SP, Brazil",L5,DevOps,10  yrs,3  yrs,"R$214,500",198K | N/A | 16.5K
Microsoft,"Curitiba, PR, Brazil",SDE,Security,5  yrs,2  yrs,"R$164,761",120K | 36.8K | 8K
NTT DATA,"Uberlandia, MG, Brazil",Senior Software Engineer,API Development (Back-End),3  yrs,2  yrs,"R$164,000",164K | N/A | N/A
Anonymous,"Curitiba, PR, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$216,000",216K | N/A | N/A
Microsoft,"Sao Paulo, SP, Brazil",Senior SDE,API Development (Back-End),5  yrs,3  yrs,"R$350,000",250K | 100K | N/A
Pagbank Pagseguro,"Sao Paulo, SP, Brazil",L2,Distributed Systems (Back-End),4  yrs,1  yr,"R$139,000",114K | N/A | 25K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$205,055",205.1K | N/A | N/A
Encora,"Campinas, SP, Brazil",L2,Full Stack,4  yrs,2  yrs,"R$131,200",121.2K | N/A | 10K
Amazon,"Sao Paulo, SP, Brazil",L2,Distributed Systems (Back-End),8  yrs,3  yrs,"R$315,000",230K | 85K | N/A
Tiny ERP,"Caxias do Sul, RS, Brazil",Senior,Full Stack,5  yrs,4  yrs,"R$210,000",210K | N/A | N/A
SAP,"Sao Leopoldo, RS, Brazil",T2,Full Stack,7  yrs,6  yrs,"R$131,000",131K | N/A | N/A
IBM,"Rio de Janeiro, RJ, Brazil",Associate Engineer,Data,4  yrs,4  yrs,"R$78,802",78.8K | N/A | N/A
Anonymous,"Curitiba, PR, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$24,000",24K | N/A | N/A
Sticker Mule,"Sao Paulo, SP, Brazil",L1,Distributed Systems (Back-End),3  yrs,1  yr,"R$699,084",699.1K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Distributed Systems (Back-End),6  yrs,1  yr,"R$368,500",260K | 43.5K | 65K
Anonymous,"Joinville, SC, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$419,732",419.7K | N/A | N/A
Goldman Sachs,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),4  yrs,3  yrs,"R$180,000",138K | N/A | 42K
Motorola Solutions,"Sao Paulo, SP, Brazil",E09,Distributed Systems (Back-End),7  yrs,1  yr,"R$130,000",130K | N/A | N/A
Faire,"Belo Horizonte, MG, Brazil",E2,iOS,4  yrs,2  yrs,"R$200,000",200K | N/A | N/A
Anonymous,"Salvador, BA, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$180,000",180K | N/A | N/A
Creditas,"Sao Paulo, SP, Brazil",L4,API Development (Back-End),10  yrs,3  yrs,"R$310,000",310K | N/A | N/A
Siemens,"Curitiba, PR, Brazil",T7,Production,20  yrs,2  yrs,"R$154,000",144K | 10K | N/A
Accenture,"Sao Paulo, SP, Brazil",Senior Software Engineer,API Development (Back-End),9  yrs,4  yrs,"R$584,556",584.6K | N/A | N/A
Smartrips,"Maceio, AL, Brazil",Junior I,Full Stack,1  yr,1  yr,"R$45,600",45.6K | N/A | N/A
IBM,"Rio de Janeiro, RJ, Brazil",Associate Engineer,Data,5  yrs,5  yrs,"R$84,400",74.4K | N/A | 10K
Upstart 13,"Sao Paulo, SP, Brazil",Senior,Full Stack,4  yrs,1  yr,"R$244,849",244.8K | N/A | N/A
luizalabs,"Sao Paulo, SP, Brazil",Junior,Web Development (Front-End),3  yrs,2  yrs,"R$66,000",66K | N/A | N/A
Inventa,"Sao Paulo, SP, Brazil",L2,API Development (Back-End),3  yrs,1  yr,"R$180,000",180K | N/A | N/A
Podium,"Sao Paulo, SP, Brazil",L4,Full Stack,9  yrs,1  yr,"R$400,000",400K | N/A | N/A
ilegra,"Porto Alegre, RS, Brazil",Senior,API Development (Back-End),5  yrs,5  yrs,"R$260,000",260K | N/A | N/A
Banco do Brasil,"Brasilia, DF, Brazil",Junior,Distributed Systems (Back-End),2  yrs,0  yrs,"R$130,000",100K | N/A | 30K
Gupy,"Sao Paulo, SP, Brazil",L6,ML / AI,6  yrs,3  yrs,"R$216,000",216K | N/A | N/A
Scalable Path,"Sao Paulo, SP, Brazil",-,Web Development (Front-End),5  yrs,1  yr,"R$387,518",387.5K | N/A | N/A
Serasa Experian,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),4  yrs,2  yrs,"R$166,280",143.3K | N/A | 23K
Stone Co,"Rio de Janeiro, RJ, Brazil",Mid,API Development (Back-End),4  yrs,2  yrs,"R$132,000",132K | N/A | N/A
Ernst and Young,"Belo Horizonte, MG, Brazil",Software Engineer,Full Stack,2  yrs,2  yrs,"R$55,167",53.1K | N/A | 2K
iFood,"Campinas, SP, Brazil",N1,Distributed Systems (Back-End),7  yrs,3  yrs,"R$273,543",233.5K | N/A | 40K
Edata,"Bauru, SP, Brazil",L3,Full Stack,5  yrs,1  yr,"R$108,000",108K | N/A | N/A
ilegra,"Porto Alegre, RS, Brazil",Senior,API Development (Back-End),5  yrs,5  yrs,"R$360,000",360K | N/A | N/A
Kekedot,"Belo Horizonte, MG, Brazil",L3,No Tag,3  yrs,2  yrs,"R$88,206",88.2K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Senior,Web Development (Front-End),11  yrs,4  yrs,"R$200,000",200K | N/A | N/A
Santander Bank,"Sao Paulo, SP, Brazil",L3,Testing (SDET),0  yrs,0  yrs,"R$104,000",84K | 20K | N/A
BairesDev,"Salvador, BA, Brazil",Software Engineer II,Web Development (Front-End),8  yrs,2  yrs,"R$294,354",294.4K | N/A | N/A
Numerality,"Sao Paulo, SP, Brazil",L5,Full Stack,5  yrs,1  yr,"R$367,943",367.9K | N/A | N/A
Solutis Tecnologias,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),15  yrs,1  yr,"R$120,000",99.6K | N/A | 20.4K
Google,"Belo Horizonte, MG, Brazil",L4,Distributed Systems (Back-End),4  yrs,2  yrs,"R$437,733",243.2K | 155.6K | 38.9K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$437,733",437.7K | N/A | N/A
Loadsmart,"Sao Paulo, SP, Brazil",L4,Web Development (Front-End),5-10  yrs,5-10  yrs,"R$350,000",350K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE III,Full Stack,13  yrs,4  yrs,"R$560,000",480K | 80K | N/A
Loadsmart,"Sao Paulo, SP, Brazil",L4,API Development (Back-End),12  yrs,4  yrs,"R$539,847",539.8K | N/A | N/A
Efí,"Belo Horizonte, MG, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$84,600",84.6K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE I,Distributed Systems (Back-End),2  yrs,2  yrs,"R$229,101",117.7K | 28K | 83.4K
TinyERP,"Porto Alegre, RS, Brazil",L3,API Development (Back-End),12  yrs,3  yrs,"R$81,000",81K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),7  yrs,3  yrs,"R$140,000",100K | 40K | N/A
Avanade,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$330,172",315.2K | N/A | 15K
Arquivei,"Sao Carlos, SP, Brazil",L3,Distributed Systems (Back-End),7  yrs,1  yr,"R$126,000",126K | N/A | N/A
DASA,"Sao Paulo, SP, Brazil",-,-,7  yrs,3  yrs,"R$180,000",180K | N/A | N/A
CloudWalk,"Sao Paulo, SP, Brazil",-,N/A,3  yrs,3  yrs,"R$194,921",194.9K | N/A | N/A
CIT,"Joao Pessoa, PB, Brazil",L2,Distributed Systems (Back-End),3  yrs,2  yrs,"R$34,800",34.8K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC4,Data,3  yrs,1  yr,"R$198,000",168K | 30K | N/A
C6 Bank,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),11  yrs,2  yrs,"R$352,000",205K | 77K | 70K
Trafego Soluções ...,"Sao Paulo, SP, Brazil",Mid-Level Software Engineer,Full Stack,3  yrs,0  yrs,"R$246,995",247K | N/A | N/A
BairesDev,"Salvador, BA, Brazil",-,Web Development (Front-End),7  yrs,2  yrs,"R$294,891",294.9K | N/A | N/A
tmaior,"Rio de Janeiro, RJ, Brazil",-,DevOps,1  yr,1  yr,"R$17,056",17.1K | N/A | N/A
PushStart,"Sao Paulo, SP, Brazil",Pleno,Full Stack,5  yrs,5  yrs,"R$60,000",60K | N/A | N/A
iFood,"Campinas, SP, Brazil",I14,Distributed Systems (Back-End),7  yrs,3  yrs,"R$234,000",216K | N/A | 18K
Anonymous,"Joinville, SC, Brazil",-,N/A,7  yrs,4  yrs,"R$176,440",176.4K | N/A | N/A
X-Team,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$527,643",515.3K | N/A | 12.4K
Genesis Tecnologia,"Campo Grande, MS, Brazil",-,Full Stack,3  yrs,3  yrs,"R$70,000",70K | N/A | N/A
Tata Consultancy ...,"Rio de Janeiro, RJ, Brazil",C1Y,Networking,7  yrs,3  yrs,"R$57,139",21.4K | 35.7K | N/A
CWI Software,"Porto Alegre, RS, Brazil",L2,Full Stack,3  yrs,3  yrs,"R$66,000",66K | N/A | N/A
Gênesis Tecnologia,"Campo Grande, MS, Brazil",-,Full Stack,3  yrs,3  yrs,"R$70,000",70K | N/A | N/A
Globalhitss,"Aracaju, SE, Brazil",L2,DevOps,7  yrs,2  yrs,"R$174,000",174K | N/A | N/A
Remessa Online,"Sao Paulo, SP, Brazil",Senior,Testing (SDET),6  yrs,2  yrs,"R$102,000",102K | N/A | N/A
Sanar,"Sao Paulo, SP, Brazil",L3,Full Stack,4  yrs,2  yrs,"R$170,000",170K | N/A | N/A
Cobli,"Sao Paulo, SP, Brazil",L4,Web Development (Front-End),6  yrs,5  yrs,"R$156,000",156K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$144,000",144K | N/A | N/A
Tecsomobi,"Sao Paulo, SP, Brazil",Mid Senior,Android,6  yrs,1  yr,"R$72,000",72K | N/A | N/A
IBM,"Sao Paulo, SP, Brazil",N/A,N/A,0-1  yrs,0-1  yrs,"R$33,600",33.6K | N/A | N/A
Turing,"Sao Paulo, SP, Brazil",Software Engineer,Backend,6  yrs,0  yrs,"R$376,381",376.4K | N/A | N/A
Invest Bank Company,"Sao Paulo, SP, Brazil",L2,Full Stack,6  yrs,4  yrs,"R$43,000",28.8K | N/A | N/A
Metaventures,"Sao Paulo, SP, Brazil",L2,API Development (Back-End),3  yrs,2  yrs,"R$50,400",50.4K | N/A | N/A
DDN,"Montenegro, RS, Brazil",Contract Software Engineer,Distributed Systems (Back-End),7  yrs,2  yrs,"R$302,136",302.1K | N/A | N/A
iFood,"Sao Paulo, SP, Brazil",I14,Distributed Systems (Back-End),5  yrs,0  yrs,"R$210,000",174K | N/A | 36K
NTT DATA,"Sao Paulo, SP, Brazil",Senior Associate Software Engineer,API Development (Back-End),6  yrs,1  yr,"R$97,200",96K | N/A | 1.2K
Lenarge,"Belo Horizonte, MG, Brazil",L2,Full Stack,2  yrs,1  yr,"R$48,000",48K | N/A | N/A
EQI Investimentos,"Florianopolis, SC, Brazil",L1,Full Stack,2  yrs,2  yrs,"R$47,000",44.2K | N/A | 2.8K
Geofusion,"Uberlandia, MG, Brazil",Junior,ML / AI,1  yr,1  yr,"R$62,400",62.4K | N/A | N/A
Jobby,"Recife, PE, Brazil",L3,Web Development (Front-End),6  yrs,6  yrs,"R$547,323",547.3K | N/A | N/A
Encora,"Sao Paulo, SP, Brazil",L3,Data,5  yrs,1  yr,"R$186,224",160.2K | N/A | 26K
VTEX,"Rio de Janeiro, RJ, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$146,000",126K | N/A | 20K
Nubank,"Sao Paulo, SP, Brazil",IC4,DevOps,5  yrs,1  yr,"R$155,142",150K | 5.1K | N/A
Zé Delivery,"Sao Paulo, SP, Brazil",L3,Data,8  yrs,2  yrs,"R$366,000",266K | N/A | 100K
Paraná Banco,"Curitiba, PR, Brazil",Senior,Distributed Systems (Back-End),6  yrs,3  yrs,"R$158,048",126K | N/A | 32K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$113,760",113.8K | N/A | N/A
OSF Digital,"Sao Paulo, SP, Brazil",L2,Salesforce,15  yrs,0  yrs,"R$192,000",192K | N/A | N/A
Anonymous,"Sao Jose dos Campos, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$126,000",126K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Full Stack,7  yrs,3  yrs,"R$254,000",204K | 50K | N/A
SAP,"Sao Leopoldo, RS, Brazil",T2,Full Stack,6  yrs,2  yrs,"R$210,000",160K | 20K | 30K
Amazon,"Sao Paulo, SP, Brazil",SDE II,Distributed Systems (Back-End),3  yrs,2  yrs,"R$263,300",199.1K | 64.2K | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),6  yrs,2  yrs,"R$214,500",198K | N/A | 16.5K
Fill Tech,"Porto Alegre, RS, Brazil",L2,Full Stack,4  yrs,1  yr,"R$38,400",38.4K | N/A | N/A
Anonymous,"Rio de Janeiro, RJ, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$75,000",75K | N/A | N/A
micro1,"Belo Horizonte, MG, Brazil",Senior,Web Development (Front-End),0  yrs,0  yrs,"R$249,625",249.6K | N/A | N/A
Loggi,"Valinhos, SP, Brazil",L3,Full Stack,8  yrs,1  yr,"R$234,000",156K | 38K | 40K
isaac,"Sao Paulo, SP, Brazil",L4,Distributed Systems (Back-End),6  yrs,1  yr,"R$214,000",208K | 6K | N/A
XP Investimentos,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),4  yrs,1  yr,"R$134,800",69K | N/A | 65.8K
Stone,"Rio de Janeiro, RJ, Brazil",L3,API Development (Back-End),9  yrs,3  yrs,"R$188,000",168K | N/A | 20K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$132,000",132K | N/A | N/A
